Year,High Oil Price,Low Oil Price,AEO2021 Reference
2023,123.39,32.03,60.56
2024,130.14,33.65,65.70
2025,132.58,35.25,66.97
2026,137.16,36.35,68.57
2027,140.41,35.98,70.33
2028,141.64,37.33,71.85
2029,143.94,37.73,72.55
2030,145.13,38.47,73.93
2031,145.63,39.29,75.43
2032,146.42,39.92,76.55
2033,146.36,40.79,77.39
2034,147.39,41.01,78.10
2035,149.33,42.46,78.83
2036,150.98,42.94,79.95
2037,152.49,43.51,80.92
2038,153.76,43.46,81.91
2039,154.94,43.62,82.21
2040,156.10,43.20,83.92
2041,155.72,43.01,84.77
2042,158.48,43.16,85.09
2043,159.83,43.04,86.49
2044,159.19,43.69,88.15
2045,161.19,43.79,88.60
2046,163.33,43.97,89.85
2047,165.66,43.95,90.27
2048,167.52,44.12,90.11
2049,169.08,44.15,90.23
2050,170.38,44.69,89.91
